Date (CST),Hubei,Guangdong,Beijing,Shanghai,Zhejiang,Tianjin,Chongqing,Jiangxi,Shandong,Henan,Hunan,Sichuan,Yunnan,Shanxi,Fujian,Liaoning,Hainan,Anhui,Guizhou,Guangxi,Ningxia,Hebei,Jiangsu,Jilin,Heilongjiang,Shaanxi,Xinjiang,Gansu,Inner,Qinghai,Tibet,,
1/11/20,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/20,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/20,77,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/20,72,13,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/20,105,12,5,7,5,2,5,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,
1/22/20,69,6,4,7,5,2,4,1,5,4,8,3,,1,1,2,4,1,3,2,1,1,1,1,,3,,,,,,,
1/23/20,105,21,12,4,33,1,18,4,3,4,15,10,1,,4,2,4,14,0,11,1,1,8,2,4,2,2,2,1,,,,
1/24/20,180,25,10,13,19,3,30,11,12,23,19,13,3,5,5,8,2,24,1,10,1,6,9,1,5,10,1,2,1,,,,
1/25/20,323,20,15,7,42,2,18,18,18,51,26,16,6,3,19,5,12,21,1,10,1,5,13,0,6,7,1,3,5,1,,,
1/26/20,371,48,17,13,24,4,35,12,24,45,31,25,8,4,27,5,9,10,2,13,3,5,16,2,6,13,1,7,4,3,,,
1/27/20,1291,42,12,13,45,9,22,24,24,40,43,21,7,7,17,5,7,36,2,5,4,15,23,2,9,11,5,5,2,2,,,
1/28/20,840,53,11,14,123,1,15,37,34,38,78,18,25,7,9,9,5,46,0,7,1,15,29,1,7,10,3,5,2,0,,,
1/29/20,1032,70,20,21,132,3,18,53,24,72,56,34,19,8,19,3,3,48,3,20,5,17,30,5,6,7,1,2,3,0,1,,
1/30/20,1220,82,21,27,109,5,41,78,33,74,55,36,10,4,19,4,3,37,3,9,4,17,39,0,16,24,3,3,2,2,0,,
1/31/20,1347,142,24,41,62,5,41,46,28,70,67,30,11,8,24,20,8,60,14,13,5,14,34,3,21,14,1,6,3,1,0,,
2/1/20,1921,69,27,8,62,8,15,47,19,71,64,23,8,9,15,1,6,43,9,11,2,8,34,6,15,15,2,5,4,2,0,,
